x,y,u,v
0,0,0,0
0,0.025,0.13125,0
0,0.05,0.225,0
0,0.075,0.28125,0
0,0.1,0.3,0
0,0.125,0.28125,0
0,0.15,0.225,0
0,0.175,0.13125,0
0,0.2,0,0
0,0.225,0,0
0,0.25,0,0
0,0.275,0,0
0,0.3,0,0
0,0.325,0,0
0,0.35,0,0
0,0.375,0,0
0,0.4,0,0
0,0.425,0,0
0,0.45,0,0
0,0.475,0,0
0,0.5,0,0
0,0.525,0,0
0,0.55,0,0
0,0.575,0,0
0,0.6,0,0
0,0.625,0,0
0,0.65,0,0
0,0.675,0,0
0,0.7,0,0
0,0.725,0,0
0,0.75,0,0
0,0.775,0,0
0,0.8,0,0
0,0.825,0,0
0,0.85,0,0
0,0.875,0,0
0,0.9,0,0
0,0.925,0,0
0,0.95,0,0
0,0.975,0,0
0,1,0,0
0.025,0,0,0
0.025,0.025,0.129472217063996,0.00219632571626773
0.025,0.05,0.222024978978935,0.00780560744323219
0.025,0.075,0.278201845443884,0.0136930998518098
0.025,0.1,0.2970403992023,0.0192388329576949
0.025,0.125,0.276316184472376,0.0278146247384918
0.025,0.15,0.220337302446604,0.029779140916308
0.025,0.175,0.129197296870743,0.0363947260905692
0.025,0.2,0.0345056687333853,0.0260970226013137
0.025,0.225,0.00326620591602817,-0.00853866119173054
0.025,0.25,-0.000789646845898581,-0.0187499962136288
0.025,0.275,-0.00112404230338008,-0.0145278574368218
0.025,0.3,-0.000243189917135591,-0.014444808475363
0.025,0.325,-0.000330930511550418,-0.0136020062511301
0.025,0.35,-0.000565734983248301,-0.0127558425252956
0.025,0.375,-0.000560100930416767,-0.0118894508486794
0.025,0.4,-0.000464575176387448,-0.0111006637104042
0.025,0.425,-0.000398323217520724,-0.0102906163820341
0.025,0.45,-0.000350995854455432,-0.00962693428529057
0.025,0.475,-0.000317051752823162,-0.00901342253776856
0.025,0.5,-0.000293810899453547,-0.00845565196134314
0.025,0.525,-0.000273753495657284,-0.00792716933890019
0.025,0.55,-0.000260818491758118,-0.00742976833564394
0.025,0.575,-0.000252083295545965,-0.00694589574866686
0.025,0.6,-0.000249081657894388,-0.00647215244966477
0.025,0.625,-0.000248623292930268,-0.0059992849946812
0.025,0.65,-0.000251537413814811,-0.00552262281765038
0.025,0.675,-0.000255831497354612,-0.00503807568684123
0.025,0.7,-0.000261102816497813,-0.0045433676440848
0.025,0.725,-0.00026643746908649,-0.00403785459172827
0.025,0.75,-0.000269922948424053,-0.00352375490071996
0.025,0.775,-0.000271812929011928,-0.0030031552531556
0.025,0.8,-0.000268333420740384,-0.0024855099089498
0.025,0.825,-0.000260658373898061,-0.00197513043875942
0.025,0.85,-0.000243726846700206,-0.00149067485432735
0.025,0.875,-0.000220511554565707,-0.00103824411186071
0.025,0.9,-0.000184532445935164,-0.000651375124042082
0.025,0.925,-0.000139367903272097,-0.000331230583471625
0.025,0.95,-8.22833156578888E-05,-0.000115010412154495
0.025,0.975,-1.36753918452454E-05,-1.36753918469958E-05
0.025,1,0,0
0.05,0,0,0
0.05,0.025,0.123025849776504,0.00404373212762372
0.05,0.05,0.213497591916135,0.0135948576211641
0.05,0.075,0.269095979884245,0.025249252812072
0.05,0.1,0.288167914119312,0.0360928990574095
0.05,0.125,0.270489338833845,0.047114227438694
0.05,0.15,0.216423412159451,0.0515119958581097
0.05,0.175,0.14266393072659,0.0486159054918359
0.05,0.2,0.0672836557167518,0.0333513186745211
0.05,0.225,0.0195555658437022,0.00413404464211923
0.05,0.25,0.00492263709981484,-0.0119955616179868
0.05,0.275,0.00112113858597378,-0.0144307437759744
0.05,0.3,-3.84288521473197E-05,-0.0176445649012704
0.05,0.325,-0.000673464486557891,-0.0194042913052757
0.05,0.35,-0.00122239705814172,-0.0193662307551923
0.05,0.375,-0.00134523280887544,-0.0186667560256554
0.05,0.4,-0.00129682713320927,-0.017885628464137
0.05,0.425,-0.00118498939104627,-0.0170374106850916
0.05,0.45,-0.00110965659640119,-0.0161953323915886
0.05,0.475,-0.00103110948895925,-0.0153787017718343
0.05,0.5,-0.000980970070317488,-0.0145630888777649
0.05,0.525,-0.000933709777180131,-0.0137683530520075
0.05,0.55,-0.000908766620175253,-0.0129802528389275
0.05,0.575,-0.000891415701493489,-0.012200747406077
0.05,0.6,-0.000891104207380917,-0.0114130669889462
0.05,0.625,-0.000897270481737013,-0.0106173569120564
0.05,0.65,-0.000913415909018426,-0.00980249701352779
0.05,0.675,-0.000932934863490519,-0.00896839424977828
0.05,0.7,-0.000954988266525787,-0.00811089117104041
0.05,0.725,-0.000975359239040026,-0.00723218126565962
0.05,0.75,-0.000989660528308855,-0.00633588739584377
0.05,0.775,-0.000994848035395775,-0.00542924377668108
0.05,0.8,-0.000983966503194033,-0.00452442775235229
0.05,0.825,-0.000953721724630658,-0.0036366504723594
0.05,0.85,-0.000896485648421418,-0.00278630094860318
0.05,0.875,-0.000807562435322314,-0.00200057787082002
0.05,0.9,-0.000682706267807496,-0.0013068385035208
0.05,0.925,-0.000514433890569392,-0.000741601973506635
0.05,0.95,-0.000319024529046484,-0.000318018310578668
0.05,0.975,-0.000114955677349889,-8.19361359532146E-05
0.05,1,0,0
0.075,0,0,0
0.075,0.025,0.114632435850793,0.00547926117530844
0.075,0.05,0.201078695753807,0.0176108208829796
0.075,0.075,0.255150243168464,0.0330387757865449
0.075,0.1,0.275553229969162,0.0461784270492517
0.075,0.125,0.259648101426033,0.0598622885910434
0.075,0.15,0.214268418563701,0.0641052092543736
0.075,0.175,0.150474012625997,0.0582840937368596
0.075,0.2,0.0871106565826185,0.0442537212194801
0.075,0.225,0.042875577063806,0.01887315686066
0.075,0.25,0.020552357840137,0.000913574449053054
0.075,0.275,0.00890323940171028,-0.00772496022101986
0.075,0.3,0.00284233624663122,-0.0142646712650862
0.075,0.325,1.17205029676963E-05,-0.0186613033108161
0.075,0.35,-0.00124728224385989,-0.0204829057552973
0.075,0.375,-0.0017692160203898,-0.0207841062461904
0.075,0.4,-0.00188738774841043,-0.0208294548630997
0.075,0.425,-0.00192776268210988,-0.0204305333493073
0.075,0.45,-0.00190990746771537,-0.0198832085361683
0.075,0.475,-0.00186695353950843,-0.0191747442550301
0.075,0.5,-0.0018174668995276,-0.0184145134098997
0.075,0.525,-0.00178266144632085,-0.0175787432836736
0.075,0.55,-0.00176293910744697,-0.0167199032439614
0.075,0.575,-0.00176296697914589,-0.0158147265188534
0.075,0.6,-0.00177950776068392,-0.0148810197347485
0.075,0.625,-0.00181158202291675,-0.0139045215435501
0.075,0.65,-0.00185430730582372,-0.0128929670962306
0.075,0.675,-0.00190454103458139,-0.0118385807705203
0.075,0.7,-0.00195541667553211,-0.0107476464877387
0.075,0.725,-0.0020018718721308,-0.00961975823880392
0.075,0.75,-0.00203490390940317,-0.00846525339105662
0.075,0.775,-0.00204758393386612,-0.00729211020987029
0.075,0.8,-0.00202881327310645,-0.00611873524186787
0.075,0.825,-0.00196982880139722,-0.00496251280623299
0.075,0.85,-0.00185859412240352,-0.00385225117662978
0.075,0.875,-0.00168546744390669,-0.00281571139249435
0.075,0.9,-0.00144179240531004,-0.00189075468831658
0.075,0.925,-0.00112099559976517,-0.0011135203706179
0.075,0.95,-0.000740651272278115,-0.000509079602866341
0.075,0.975,-0.000329176660783225,-0.000137898870380095
0.075,1,0,0
0.1,0,0,0
0.1,0.025,0.104491758959904,0.00585265267102125
0.1,0.05,0.185763000461025,0.0196064625522517
0.1,0.075,0.239263536321443,0.0369913716749378
0.1,0.1,0.260779818050876,0.052901318862663
0.1,0.125,0.25130238807363,0.0659696173103863
0.1,0.15,0.213503446533488,0.0708697643755985
0.1,0.175,0.16025964442174,0.0658592172241237
0.1,0.2,0.106593369684897,0.0526705174846262
0.1,0.225,0.0623758834589679,0.0335343804369287
0.1,0.25,0.0354407896332764,0.0157075020488708
0.1,0.275,0.0189870652093729,0.00241759244097112
0.1,0.3,0.00894818789974308,-0.00708148809837209
0.1,0.325,0.00353504559497703,-0.0135525026804805
0.1,0.35,0.00067716259288581,-0.017314220018383
0.1,0.375,-0.000849449594221993,-0.0191527315672056
0.1,0.4,-0.00163476124582215,-0.0203480364205784
0.1,0.425,-0.00206810007003945,-0.0208642216447646
0.1,0.45,-0.00231433244836614,-0.0209123150725737
0.1,0.475,-0.00244178093655823,-0.020618589954657
0.1,0.5,-0.00251432420009164,-0.0201362290166455
0.1,0.525,-0.00256532265048797,-0.0194902320621421
0.1,0.55,-0.00261825859171237,-0.0187358982169189
0.1,0.575,-0.00267894184049634,-0.0178806103206675
0.1,0.6,-0.00275366938947118,-0.0169455522903746
0.1,0.625,-0.00284042540290511,-0.0159322214453815
0.1,0.65,-0.00293711687733959,-0.0148514419805407
0.1,0.675,-0.00303838197645872,-0.0137034779212151
0.1,0.7,-0.00313631874260482,-0.0124972801271916
0.1,0.725,-0.00322277058252357,-0.0112371206759248
0.1,0.75,-0.00328525541962087,-0.00993576566295268
0.1,0.775,-0.00331267470451075,-0.00860522577253959
0.1,0.8,-0.00328912160043443,-0.0072652362267558
0.1,0.825,-0.00320051043583779,-0.0059387584122819
0.1,0.85,-0.00302991996416747,-0.00465373985743401
0.1,0.875,-0.00276214432909229,-0.00344627661888995
0.1,0.9,-0.00238529931739026,-0.00235085732531091
0.1,0.925,-0.0018938991112875,-0.00141394813651129
0.1,0.95,-0.00129829600705022,-0.000667454267454789
0.1,0.975,-0.000644609589832488,-0.000180099560624852
0.1,1,0,0
0.125,0,0,0
0.125,0.025,0.0933352305325556,0.005878905782867
0.125,0.05,0.169099819795365,0.0197779572954757
0.125,0.075,0.22080107826602,0.0382413287073016
0.125,0.1,0.245216031156867,0.0548862314989927
0.125,0.125,0.241189473050039,0.0689225369887777
